ID,INCIDENT_CODE,INCIDENT_TYPE_CODE,REQUESTED_BY,AFFECTED_ITEM,HELP_DESK_ID,INCIDENT_LINE_ITEM,ASSIGNED_DEPT,INCIDENT_PART_NO,INCIDENT_DESCRIPTION,INVESTIGATION_CODE,DIAGNOSIS_CODE,DEFECTIVE_PARTS,DIAGNOSIS_DESCRIPTION,RESOLUTION_CODE,R_DEPT_CODE,R_WORK_CENTER,RESOLUTION_DESC,CLOSURE_CODE,CLOSING_COMMENT
11,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.1,R_DEPT-03,R_W_CENTER-03,removed and scrapped part,D1.1.2.1.1,"Inspection by Group-01: No Need to remove cracked part, rework and use"
12,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.1,R_DEPT-03,R_W_CENTER-03,removed and scrapped part,D1.1.2.1.2,Inspection by Group-02: Need more reworking to fit in
13,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.1,R_DEPT-03,R_W_CENTER-03,removed and scrapped part,D1.1.2.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
14,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.1,R_DEPT-03,R_W_CENTER-03,removed and scrapped part,D1.1.2.1.4,Inspection by Group-04: After following the #103 its not working perfectly
15,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.1,R_DEPT-03,R_W_CENTER-03,removed and scrapped part,D1.1.2.1.5,Inspection by Group-05: Remove the fouling part
16,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.2,R_DEPT-04,R_W_CENTER-04,installed new part,D1.1.2.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
17,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.2,R_DEPT-04,R_W_CENTER-04,installed new part,D1.1.2.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
18,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.2,R_DEPT-04,R_W_CENTER-04,installed new part,D1.1.2.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
19,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.2,R_DEPT-04,R_W_CENTER-04,installed new part,D1.1.2.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
20,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.2,SCRAP,SUB-PART-002,scrap crack or clipped part,D1.1.2.2,R_DEPT-04,R_W_CENTER-04,installed new part,D1.1.2.2.5,Inspection by Group-05: Installation of new component is accepted
21,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.1,R_DEPT-05,R_W_CENTER-05,remove broken part,D1.2.1.1.1,"Inspection by Group-01: No Need to remove cracked part, rework and use"
22,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.1,R_DEPT-05,R_W_CENTER-05,remove broken part,D1.2.1.1.2,Inspection by Group-02: Need more reworking to fit in
23,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.1,R_DEPT-05,R_W_CENTER-05,remove broken part,D1.2.1.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
24,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.1,R_DEPT-05,R_W_CENTER-05,remove broken part,D1.2.1.1.4,Inspection by Group-04: After following the #103 its not working perfectly
25,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.1,R_DEPT-05,R_W_CENTER-05,remove broken part,D1.2.1.1.5,Inspection by Group-05: Remove the fouling part
26,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.2,R_DEPT-06,R_W_CENTER-06,install new part,D1.2.1.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
27,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.2,R_DEPT-06,R_W_CENTER-06,install new part,D1.2.1.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
28,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.2,R_DEPT-06,R_W_CENTER-06,install new part,D1.2.1.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
29,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.2,R_DEPT-06,R_W_CENTER-06,install new part,D1.2.1.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
30,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.1,REMOVE,SUB-PART-023,remove broken part,D1.2.1.2,R_DEPT-06,R_W_CENTER-06,install new part,D1.2.1.2.5,Inspection by Group-05: Installation of new component is accepted
31,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.1,R_DEPT-01,R_W_CENTER-01,scrap damaged part,D1.2.2.1.1,"Inspection by Group-01: No Need to remove damaged part, rework and use"
32,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.1,R_DEPT-01,R_W_CENTER-01,scrap damaged part,D1.2.2.1.2,Inspection by Group-02: Need more reworking to fit in
33,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.1,R_DEPT-01,R_W_CENTER-01,scrap damaged part,D1.2.2.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
34,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.1,R_DEPT-01,R_W_CENTER-01,scrap damaged part,D1.2.2.1.4,Inspection by Group-04: After following the #103 its not working perfectly
35,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.1,R_DEPT-01,R_W_CENTER-01,scrap damaged part,D1.2.2.1.5,Inspection by Group-05: Remove the fouling part
36,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.2,R_DEPT-02,R_W_CENTER-02,install new sealed part,D1.2.2.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
37,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.2,R_DEPT-02,R_W_CENTER-02,install new sealed part,D1.2.2.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
38,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.2,R_DEPT-02,R_W_CENTER-02,install new sealed part,D1.2.2.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
39,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.2,R_DEPT-02,R_W_CENTER-02,install new sealed part,D1.2.2.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
40,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.2,DEPT-02,PART-02,PART-02 is broken or damaged,D1.2.2,SCRAP,SUB-PART-007,clear damaged part,D1.2.2.2,R_DEPT-02,R_W_CENTER-02,install new sealed part,D1.2.2.2.5,Inspection by Group-05: Installation of new component is accepted
41,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.1,R_DEPT-03,R_W_CENTER-03,scrap ripped part,D1.3.1.1.1,"Inspection by Group-01: No Need to remove ripped part, rework and use"
42,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.1,R_DEPT-03,R_W_CENTER-03,scrap ripped part,D1.3.1.1.2,Inspection by Group-02: Need more reworking to fit in
43,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.1,R_DEPT-03,R_W_CENTER-03,scrap ripped part,D1.3.1.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
44,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.1,R_DEPT-03,R_W_CENTER-03,scrap ripped part,D1.3.1.1.4,Inspection by Group-04: After following the #103 its not working perfectly
45,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.1,R_DEPT-03,R_W_CENTER-03,scrap ripped part,D1.3.1.1.5,Inspection by Group-05: Remove the fouling part
46,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.2,R_DEPT-04,R_W_CENTER-04,install new unripped part,D1.3.1.2.1,"Inspection by Group-01: No Need to remove ripped part, rework and use"
47,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.2,R_DEPT-04,R_W_CENTER-04,install new unripped part,D1.3.1.2.2,Inspection by Group-02: Need more reworking to fit in
48,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.2,R_DEPT-04,R_W_CENTER-04,install new unripped part,D1.3.1.2.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
49,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.2,R_DEPT-04,R_W_CENTER-04,install new unripped part,D1.3.1.2.4,Inspection by Group-04: After following the #103 its not working perfectly
50,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.3,DEPT-03,PART-03,PART-03 is completely ripped,D1.3.1,UNINSTALL,SUB-PART-013,uninstall ripped area,D1.3.1.2,R_DEPT-04,R_W_CENTER-04,install new unripped part,D1.3.1.2.5,Inspection by Group-05: Remove the fouling part
51,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.1,R_DEPT-05,R_W_CENTER-05,removed fouling part,D2.1.1.1.1,"Inspection by Group-01: No Need to remove fouling part, rework and use"
52,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.1,R_DEPT-05,R_W_CENTER-05,removed fouling part,D2.1.1.1.2,Inspection by Group-02: Need more reworking to fit in
53,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.1,R_DEPT-05,R_W_CENTER-05,removed fouling part,D2.1.1.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
54,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.1,R_DEPT-05,R_W_CENTER-05,removed fouling part,D2.1.1.1.4,Inspection by Group-04: After following the #103 its not working perfectly
55,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.1,R_DEPT-05,R_W_CENTER-05,removed fouling part,D2.1.1.1.5,Inspection by Group-05: Remove the fouling part
56,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.2,R_DEPT-06,R_W_CENTER-06,installed new component,D2.1.1.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
57,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.2,R_DEPT-06,R_W_CENTER-06,installed new component,D2.1.1.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
58,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.2,R_DEPT-06,R_W_CENTER-06,installed new component,D2.1.1.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
59,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.2,R_DEPT-06,R_W_CENTER-06,installed new component,D2.1.1.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
60,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.1,REPLACE,SUB-PART-011,replace fouling component,D2.1.1.2,R_DEPT-06,R_W_CENTER-06,installed new component,D2.1.1.2.5,Inspection by Group-05: Installation of new component is accepted
61,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.1,R_DEPT-01,R_W_CENTER-01,removed and scrapped part,D2.1.2.1.1,"Inspection by Group-01: No Need to remove fouling part, rework and use"
62,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.1,R_DEPT-01,R_W_CENTER-01,removed and scrapped part,D2.1.2.1.2,Inspection by Group-02: Need more reworking to fit in
63,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.1,R_DEPT-01,R_W_CENTER-01,removed and scrapped part,D2.1.2.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
64,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.1,R_DEPT-01,R_W_CENTER-01,removed and scrapped part,D2.1.2.1.4,Inspection by Group-04: After following the #103 its not working perfectly
65,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.1,R_DEPT-01,R_W_CENTER-01,removed and scrapped part,D2.1.2.1.5,Inspection by Group-05: Remove the fouling part
66,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.2,R_DEPT-02,R_W_CENTER-02,installed new part,D2.1.2.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
67,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.2,R_DEPT-02,R_W_CENTER-02,installed new part,D2.1.2.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
68,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.2,R_DEPT-02,R_W_CENTER-02,installed new part,D2.1.2.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
69,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.2,R_DEPT-02,R_W_CENTER-02,installed new part,D2.1.2.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
70,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.1,DEPT-07,PART-04,PART-04 reported fouling or crack or clipped with part-3,D2.1.2,SCRAP,SUB-PART-034,scrap crack or clipped part,D2.1.2.2,R_DEPT-02,R_W_CENTER-02,installed new part,D2.1.2.2.5,Inspection by Group-05: Installation of new component is accepted
71,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.1,R_DEPT-03,R_W_CENTER-03,remove broken part,D2.2.1.1.1,"Inspection by Group-01: No Need to remove fouling part, rework and use"
72,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.1,R_DEPT-03,R_W_CENTER-03,remove broken part,D2.2.1.1.2,Inspection by Group-02: Need more reworking to fit in
73,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.1,R_DEPT-03,R_W_CENTER-03,remove broken part,D2.2.1.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
74,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.1,R_DEPT-03,R_W_CENTER-03,remove broken part,D2.2.1.1.4,Inspection by Group-04: After following the #103 its not working perfectly
75,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.1,R_DEPT-03,R_W_CENTER-03,remove broken part,D2.2.1.1.5,Inspection by Group-05: Remove the fouling part
76,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.2,R_DEPT-04,R_W_CENTER-04,install new part,D2.2.1.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
77,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.2,R_DEPT-04,R_W_CENTER-04,install new part,D2.2.1.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
78,D2,N,parker@ca.xyz.com,PRODUCT-0A,REP-02,D2.2,DEPT-09,PART-13,PART-13 reported as broken or damaged,D2.2.1,REMOVE,SUB-PART-001,remove broken part,D2.2.1.2,R_DEPT-04,R_W_CENTER-04,install new part,D2.2.1.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
